id;data_nascimento;tipo_sanguineo;nome_pai;telefone_pai;nome_mae;telefone_mae;nome_responsavel;cpf_responsavel;observacoes
1;2021-03-29;ABN;neural;Programmable compress invoice;Croatian;Regional action-items;Amazonas cutting-edge;action-items Fresco digital;Checking
2;2021-03-29;ABP;SQL;Nepalese Gostoso parse;Product Fresco;Bebê da;payment model;Buckinghamshire;SMTP policy
3;2021-03-28;ABN;Marginal Ferramentas;ferrugem Operations;bordô;Espanha Market Berkshire;Account Human;Mercearia;protocol Tuvalu application
4;2021-03-29;BN;users;calculating 24/365 Chapéu;hacking;world-class;experiences firewall;Paraná Pernambuco Expanded;incentivize Yen
5;2021-03-28;ABP;ROI digital SMS;Borders;monitoring Industrial Samoa;Grass-roots;Account;Lustroso infomediaries;monitor
6;2021-03-28;AP;Prático;revolutionary wireless;copy eyeballs Security;Bebê attitude-oriented;Buckinghamshire;âmbar;exploit copying Administrator
7;2021-03-29;OP;vertical solution wireless;channels Madeira;feed;User-centric Assistant mão;morph Roupas;facilitate Switchable;feed Camiseta
8;2021-03-28;BP;Chief;fresh-thinking amarelo TCP;Avenida;Bedfordshire;parse;system killer invoice;Roupas Coordinator Avenida
9;2021-03-28;BN;Lindo overriding content;e-enable withdrawal;Loan;Legacy Loan;Frango;policy;global Gerais
10;2021-03-29;BN;methodologies Personal;Loan Loan Bangladesh;Concreto;Buckinghamshire;Money Impressionante Object-based;Roraima parsing payment;Identity Manat
